title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,400,4.5 out of 5 stars,157 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,400,4.6 out of 5 stars,"169,830 ratings",Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Days of Play Bundle (Renewed),400,5.0 out of 5 stars,2 ratings,Not Available
"PS4 Controller Charger Dock Station, PS4 Remote Charging Station with Fast-Charging Port, Replacement for PlayStation 4 Controller Charger",400,4.7 out of 5 stars,"3,727 ratings",Not Available
PlayStation 4 Jet Black (CUH-1200AB01) [Japan Import],400,3.8 out of 5 stars,867 ratings,Usually ships within 6 to 7 days
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),400,4.0 out of 5 stars,"3,082 ratings",Not Available
PlayStation 4 Slim 1TB Console,400,4.6 out of 5 stars,"15,807 ratings",Not Available
Sony Playstation PS4 1TB Black Console,400,4.6 out of 5 stars,"1,631 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",400,4.4 out of 5 stars,394 ratings,Not Available
PlayStation 4 Pro 1TB Console,400,4.6 out of 5 stars,"12,777 ratings",Not Available
PlayStation 4,400,4.6 out of 5 stars,"13,677 ratings",Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),400,4.4 out of 5 stars,"4,134 ratings",Not Available
"Flagship Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",400,4.5 out of 5 stars,214 ratings,Not Available
PlayStation®5 Digital Edition (slim),400,4.7 out of 5 stars,"6,278 ratings",Not Available
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],400,4.6 out of 5 stars,"2,825 ratings",Not Available
PlayStation 4 500GB Console - Call of Duty Black Ops III Bundle [Discontinued],400,4.6 out of 5 stars,"2,012 ratings",Not Available
Call of Duty Black Ops 4 - PlayStation 4 (PS4),400,4.3 out of 5 stars,546 ratings,In Stock
"TERIOS Wireless Controller Compatible with PS4/PS4 Pro/PS4 Slim, Pro Controller with Built-in Speaker, Advanced Buttons Programming, Enhanced Dual Vibration/Turbo Auto Fire (Black)",400,4.0 out of 5 stars,"7,869 ratings",Not Available
"GamingBoy 2 Pack Wireless Controller for PS4, LED Controller for Ps4/Slim/Pro/PC with Adjustable RGB Light-up,Hall Effect Joystick,Dual Vibration,6-Axis Gyro,1000mAh Battery,USB C Port- Black",400,4.5 out of 5 stars,147 ratings,Not Available
"CHEREEKI Wireless Controller for PS4 with 2 Mapping Buttons, 3.5mm Audio and Turbo Function, 6-Axis Motion Control, Dual Vibration, Gamepad Joystick for PS-4, Compatible with PS-4, Slim, Pro",400,4.1 out of 5 stars,146 ratings,Not Available
PS4 Controller 2 Pack Wireless for PlayStation 4/Slim/Pro with 1000mah Battery/Dual Vibration/Audio Jack/Six-axis Motion Sensor(Camouflage Red and Camouflage Blue),400,4.5 out of 5 stars,30 ratings,Not Available
"DEEBOX Gaming Headset for PC, PS5, PS4, Xbox, Gaming Headphone with Detachable Noise Canceling Mic, Wired Gaming Headsets 3.5mm for PC, Laptop, Mac & Nintendo NES Games",400,4.3 out of 5 stars,"3,122 ratings",
"BRENDEZ Replacement Set of Cables,- HDMI Cable with Ethernet Male to Male + USB Cable + Power Cord Compatible with Sony PlayStation 4 Pro and PlayStation 4 PS4 Gaming Console. (10-FEET)",400,4.7 out of 5 stars,58 ratings,Not Available
eeidc PS4 Controller 2 Pack Wireless Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio Jack/Six-axis Motion Sensor(Purple and Blue Camo),400,4.0 out of 5 stars,157 ratings,Not Available
"Turtle Beach Stealth 600 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4, & Mobile – Bluetooth, 80-Hr Battery, Noise-Cancelling Mic – White",400,4.2 out of 5 stars,"2,202 ratings",In Stock
"Turtle Beach Stealth 700 Gen 3 Wireless Multiplatform Amplified Gaming Headset for PS5, PS4, PC, Mobile – 60mm Drivers, AI Noise-Cancelling Mic, Bluetooth, 80-Hr Battery, Dual Transmitters – Black",400,4.3 out of 5 stars,339 ratings,In Stock
"PHOINIKAS Gaming Headset for PS4, Xbox One, PC, Laptop, Mac, Nintendo Switch, 3.5MM PS4 Stereo Headset Over Ear Headphones with Noise-Cancelling Mic, Bass Surround - Camo",400,4.2 out of 5 stars,"13,491 ratings",Not Available
"Gaming Headset for PS5 PS4 PC, Wired Headsets with 7.1 Surround Sound, H-7 Gaming Over Ear Headphones with Noise Cancelling Flexible Mic Memory Earmuffs, for PC/PS5/PS4/XboxSeries X/S/Switch (White)",400,4.1 out of 5 stars,420 ratings,Not Available
"Gaming Headset with Microphone, Gaming Headphones for PS4 PS5 Xbox One PC with LED Lights, PlayStation Headset with Noise Reduction 7.1 Surround Sound Over-Ear and Wired 3.5mm Jack (Green)",400,4.3 out of 5 stars,"1,699 ratings",Not Available
